name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;851;0;1017;3153;1485;3153;1200;0
header;225;129;225;167;1840;167;1840;129
A;1020;187;1020;217;1045;217;1045;187
A;912;554;912;579;926;579;926;554
B;1193;693;1193;709;1213;709;1213;693
B;1031;857;1031;885;1051;885;1051;857
B;1203;1343;1203;1363;1218;1363;1218;1343
C;1031;1527;1031;1557;1052;1557;1052;1527
A;1207;2034;1207;2053;1222;2053;1222;2034
D;1037;2197;1037;2225;1059;2225;1059;2197
B;1314;2217;1314;2236;1348;2236;1348;2217
B;1082;2848;1082;2864;1100;2864;1100;2848
B;1388;2848;1388;2863;1406;2863;1406;2848
A;1086;2873;1086;2875;1090;2875;1090;2873
A;1030;2929;1030;2930;1031;2930;1031;2929
A;1082;2931;1082;2933;1084;2933;1084;2931
A;1025;3027;1025;3027;1025;3027;1025;3027
A;1022;3051;1022;3053;1024;3053;1024;3051
