name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;545;0;616;3153;1212;3153;1496;0
header;198;159;198;194;1807;194;1807;159
A;990;221;990;250;1014;250;1014;221
C;684;365;684;383;699;383;699;365
B;997;899;997;925;1016;925;1016;899
A;1092;1434;1092;1442;1098;1442;1098;1434
C;994;1563;994;1593;1016;1593;1016;1563
A;1262;1834;1262;1841;1268;1841;1268;1834
D;699;2054;699;2080;732;2080;732;2054
B;620;2108;620;2126;633;2126;633;2108
B;898;2802;898;2821;913;2821;913;2802
A;837;2929;837;2929;838;2929;838;2929
A;818;3000;818;3001;818;3001;818;3000
